op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
host,select,"{65536}",30,174964.000,188284.000,120811.000,145047.000,0.690
host,select,"{262144}",30,1092543.000,1144888.000,786330.000,864817.000,0.720
host,select,"{1048576}",30,3792147.000,3975822.000,2805526.000,3383346.000,0.740
host,all,"{256}",30,50.000,62.000,50.000,87.000,1.000
host,any,"{256}",30,49.000,54.000,49.000,127.000,1.000
host,all,"{1024}",30,224.000,120393.000,222.000,232.000,0.991
host,any,"{1024}",30,223.000,232.000,223.000,236.000,1.000
host,all,"{4096}",30,632.000,4848.000,630.000,734.000,0.997
host,any,"{4096}",30,568.000,3280.000,527.000,633.000,0.928
host,all,"{16384}",30,1627.000,1869.000,1292.000,1381.000,0.794
host,any,"{16384}",30,1325.000,1476.000,1189.000,1385.000,0.897
host,all,"{65536}",30,6346.000,25362.000,4694.000,5402.000,0.740
host,any,"{65536}",30,5718.000,17937.000,4838.000,5274.000,0.846
host,all,"{262144}",30,19029.000,19798.000,17565.000,19764.000,0.923
host,any,"{262144}",30,19644.000,20151.000,17998.000,20372.000,0.916
host,all,"{1048576}",30,71192.000,72622.000,71303.000,71799.000,1.002
host,any,"{1048576}",30,330746.000,366817.000,322908.000,357721.000,0.976
host,slice 2D centre,"{8, 8}",30,23.000,70.000,6.000,9.000,0.261
host,slice 2D centre,"{64, 64}",30,1139.000,19966.000,172.000,9915.000,0.151
host,slice 2D centre,"{256, 256}",30,28649.000,46609.000,3042.000,16952.000,0.106
host,slice 2D centre,"{1024, 1024}",30,581438.000,96957985.000,271379.000,290351.000,0.467
host,as_type f32->s32,"{256}",30,138.000,197.000,92.000,1730.000,0.667
host,as_type f32->s32,"{1024}",30,467.000,708.000,262.000,283.000,0.561
host,as_type f32->s32,"{4096}",30,2140.000,2731.000,984.000,1173.000,0.460
host,as_type f32->s32,"{16384}",30,9455.000,9672.000,3099.000,4122.000,0.328
host,as_type f32->s32,"{65536}",30,37591.000,40033.000,12386.000,20050.000,0.329
host,as_type f32->s32,"{262144}",30,164929.000,179943.000,51071.000,55820.000,0.310
host,as_type f32->s32,"{1048576}",30,579069.000,607512.000,205430.000,208968.000,0.355
sampler-host,pad,"{8, 8}",30,90.000,109.000,66.000,74.000,0.733
sampler-host,pad,"{64, 64}",30,3956.000,5000.000,3240.000,4132.000,0.819
sampler-host,pad,"{256, 256}",30,129277.000,195563.000,109285.000,153801.000,0.845
sampler-host,pad,"{1024, 1024}",30,3524749.000,3663759.000,3213500.000,3370705.000,0.912
sampler-host,put_slice 1-row,"{16, 1}",30,23.000,69.000,3.000,6.000,0.130
sampler-host,put_slice 1-row,"{32, 4}",30,45.000,88.000,8.000,17.000,0.178
