op_class,op_name,shape,n_reps,vulkano_us_median,vulkano_us_p95,binary_us_median,binary_us_p95,speedup
host,select,"{4096}",30,1866.000,5291.000,1786.000,1841.000,0.957
host,select,"{16384}",30,9830.000,12286.000,11057.000,69480.000,1.125
host,select,"{65536}",30,49278.000,137495.000,50185.000,232429.000,1.018
host,select,"{262144}",30,310133.000,328755.000,291315.000,485236.000,0.939
host,select,"{1048576}",30,1599208.000,1722156.000,1750800.000,2004337.000,1.095
host,all,"{256}",30,15.000,17.000,15.000,16.000,1.000
host,any,"{256}",30,15.000,17.000,15.000,15.000,1.000
host,all,"{1024}",30,58.000,62.000,58.000,87048.000,1.000
host,any,"{1024}",30,76.000,84.000,76.000,85.000,1.000
host,all,"{4096}",30,294.000,320.000,302.000,318.000,1.027
host,any,"{4096}",30,211.000,219.000,218.000,231.000,1.033
host,all,"{16384}",30,1421.000,1554.000,1418.000,1548.000,0.998
host,any,"{16384}",30,1002.000,1062.000,1012.000,1038.000,1.010
host,all,"{65536}",30,3324.000,3409.000,3318.000,3398.000,0.998
host,any,"{65536}",30,3193.000,3278.000,3277.000,3333.000,1.026
host,all,"{262144}",30,31616.000,142021.000,13254.000,13534.000,0.419
host,any,"{262144}",30,31255.000,31728.000,12739.000,13036.000,0.408
host,all,"{1048576}",30,144737.000,311890.000,143465.000,262244.000,0.991
host,any,"{1048576}",30,146749.000,148274.000,145813.000,359544.000,0.994
host,slice 2D centre,"{8, 8}",30,9.000,13.000,2.000,5.000,0.222
host,slice 2D centre,"{64, 64}",30,136.000,177.000,91.000,193.000,0.669
host,slice 2D centre,"{256, 256}",30,3162.000,3535.000,1666.000,2290.000,0.527
host,slice 2D centre,"{1024, 1024}",30,96555.000,334285.000,98793.000,366817.000,1.023
host,as_type f32->s32,"{256}",30,45.000,47.000,37.000,756.000,0.822
host,as_type f32->s32,"{1024}",30,144.000,153.000,127.000,136.000,0.882
host,as_type f32->s32,"{4096}",30,542.000,818.000,463.000,532.000,0.854
host,as_type f32->s32,"{16384}",30,2041.000,2177.000,1838.000,2006.000,0.901
host,as_type f32->s32,"{65536}",30,11672.000,46473.000,9780.000,10352.000,0.838
host,as_type f32->s32,"{262144}",30,46854.000,48126.000,43435.000,180487.000,0.927
host,as_type f32->s32,"{1048576}",30,190175.000,494452.000,174078.000,561735.000,0.915
sampler-host,pad,"{8, 8}",30,61.000,67.000,50.000,54.000,0.820
sampler-host,pad,"{64, 64}",30,1953.000,2547.000,1899.000,2262.000,0.972
sampler-host,pad,"{256, 256}",30,56794.000,66314.000,56205.000,156847.000,0.990
sampler-host,pad,"{1024, 1024}",30,1690638.000,2050505.000,1770277.000,1982786.000,1.047
sampler-host,put_slice 1-row,"{16, 1}",30,37.000,43.000,9.000,19.000,0.243
sampler-host,put_slice 1-row,"{32, 4}",30,57.000,62.000,17.000,25.000,0.298
sampler-host,put_slice 1-row,"{64, 8}",30,75.000,82.000,32.000,40.000,0.427
sampler-host,put_slice 1-row,"{200, 8}",30,108.000,234.000,47.000,322.000,0.435
sampler-host,put_slice 1-row,"{200, 16}",30,194.000,285.000,86.000,154.000,0.443
sampler-host,put_slice 1-row,"{1024, 32}",30,630.000,839.000,248.000,257.000,0.394
sampler-host,indexed_put,"{16, 1}",30,25.000,31.000,4.000,13.000,0.160
sampler-host,indexed_add,"{16, 1}",30,23.000,42.000,5.000,12.000,0.217
sampler-host,indexed_put,"{32, 4}",30,26.000,39.000,4.000,12.000,0.154
sampler-host,indexed_add,"{32, 4}",30,27.000,41.000,5.000,16.000,0.185
sampler-host,indexed_put,"{64, 8}",30,27.000,188.000,4.000,19.000,0.148
sampler-host,indexed_add,"{64, 8}",30,27.000,44.000,5.000,17.000,0.185
sampler-host,indexed_put,"{200, 8}",30,38.000,71.000,4.000,20.000,0.105
sampler-host,indexed_add,"{200, 8}",30,38.000,91.000,5.000,30.000,0.132
sampler-host,indexed_put,"{200, 16}",30,54.000,219.000,5.000,19.000,0.093
sampler-host,indexed_add,"{200, 16}",30,53.000,117.000,5.000,31.000,0.094
sampler-host,indexed_put,"{1024, 32}",30,360.000,514.000,13.000,21.000,0.036
sampler-host,indexed_add,"{1024, 32}",30,362.000,551.000,13.000,23.000,0.036
sampler-host,broadcast scalar->{n},"{256}",30,4.000,11.000,1.000,1.000,0.250
sampler-host,broadcast scalar->{n},"{1024}",30,7.000,9.000,4.000,6.000,0.571
sampler-host,broadcast scalar->{n},"{4096}",30,17.000,28.000,14.000,19.000,0.824
sampler-host,broadcast scalar->{n},"{16384}",30,59.000,68.000,56.000,59.000,0.949
